,Unnamed: 0,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,y
23,23,65,88.0,9,45,20,0,0,85,1.0,4,6,20,1,20,0.0,0,0,14.0,71.0,4.0,2.0,1.0,50.0,0
24,24,64,91.0,4,55,19,1,1,90,0.0,0,2,20,2,50,0.0,2,2,24.0,81.0,6.0,3.0,1.0,82.0,0
25,25,58,265.0,3,79,25,2,1,93,13.0,0,5,28,2,48,0.0,1,1,63.0,50.0,8.0,2.0,0.0,91.0,0
26,26,58,150.0,16,72,18,2,0,55,4.0,4,5,22,0,45,0.0,1,1,79.0,38.0,7.0,3.0,0.0,91.0,0
27,27,79,162.0,7,94,17,0,0,100,0.0,7,8,17,1,29,0.0,0,0,28.0,52.0,3.0,1.0,1.0,57.0,0
28,28,66,284.0,32,107,15,2,2,82,3.0,4,4,17,0,53,0.0,1,1,19.0,50.0,3.0,2.0,1.0,63.0,0
29,29,69,476.0,8,157,38,4,4,100,0.0,6,8,39,1,36,0.0,4,4,50.0,54.0,14.0,2.0,4.0,89.0,0
30,30,71,179.0,3,62,15,3,2,83,37.0,6,2,18,4,33,0.0,5,5,5.0,9.0,1.0,1.0,0.0,22.0,1
31,31,54,114.0,12,49,9,3,3,64,4.0,0,2,12,0,27,0.0,0,0,62.0,14.0,6.0,2.0,1.0,100.0,0
32,32,68,133.0,7,44,39,2,2,100,0.0,6,8,39,4,67,0.0,2,2,15.0,73.0,5.0,2.0,0.0,50.0,0
33,33,75,164.0,4,66,19,0,0,100,0.0,7,8,19,2,21,0.0,0,0,53.0,92.0,5.0,1.0,1.0,55.0,1
34,34,67,118.0,6,37,23,2,2,88,70.0,6,2,26,5,42,0.0,0,0,31.0,70.0,5.0,3.0,1.0,67.0,0
35,35,88,153.0,33,92,13,0,0,100,0.0,7,8,14,0,7,0.0,0,0,1.0,52.0,1.0,2.0,0.0,25.0,1
36,36,51,186.0,13,96,22,3,1,84,2.0,0,2,25,0,56,0.0,4,3,79.0,50.0,5.0,3.0,3.0,100.0,0
37,37,70,127.0,25,57,23,0,0,96,0.0,6,6,24,0,13,0.0,0,0,51.0,52.0,9.0,2.0,1.0,67.0,0
38,38,65,116.0,10,37,14,1,1,93,72.0,6,2,15,1,13,0.0,2,2,52.0,52.0,3.0,1.0,2.0,56.0,0
39,39,78,21.0,4,13,11,0,0,100,0.0,7,8,11,5,64,0.0,3,3,7.0,52.0,3.0,2.0,0.0,75.0,0
40,40,86,318.0,18,90,13,0,0,100,0.0,7,8,13,0,62,0.0,0,0,0.0,44.0,0.0,2.0,1.0,50.0,1
41,41,90,230.0,13,73,11,0,0,100,0.0,7,8,13,0,62,0.0,0,0,1.0,71.0,1.0,4.0,0.0,71.0,1
42,42,76,293.0,4,74,33,0,0,100,0.0,7,8,34,1,38,0.0,2,2,37.0,52.0,13.0,1.0,0.0,88.0,0
43,43,70,37.0,4,20,19,0,0,100,0.0,7,8,20,2,20,0.0,3,3,42.0,73.0,2.0,2.0,1.0,50.0,0
44,44,73,255.0,16,100,40,0,0,100,0.0,7,8,44,0,23,0.0,1,1,79.0,52.0,18.0,1.0,13.0,80.0,0
45,45,72,209.0,2,95,41,0,0,100,0.0,7,8,42,3,38,0.0,1,1,42.0,52.0,7.0,2.0,2.0,82.0,0
46,46,83,398.0,3,118,29,0,0,100,0.0,7,8,29,2,31,0.0,3,3,22.0,87.0,6.0,3.0,0.0,69.0,1
47,47,87,326.0,7,111,26,0,0,100,0.0,7,8,30,1,40,0.0,0,0,12.0,89.0,3.0,2.0,0.0,56.0,1
48,48,55,114.0,6,59,19,0,0,89,5.0,4,6,19,1,53,0.0,1,1,97.0,90.0,8.0,2.0,6.0,100.0,0
49,49,65,478.0,12,97,44,0,0,89,1.0,4,6,47,0,32,0.0,9,9,63.0,52.0,9.0,2.0,6.0,60.0,0
50,50,78,197.0,23,91,15,0,0,100,0.0,7,8,17,0,41,0.0,5,5,57.0,32.0,2.0,2.0,1.0,67.0,0
51,51,79,243.0,17,77,35,0,0,97,67.0,6,6,39,0,36,0.0,2,2,20.0,52.0,4.0,1.0,0.0,56.0,1
52,52,75,183.0,18,92,21,0,0,100,0.0,7,8,22,0,27,0.0,0,0,88.0,91.0,9.0,3.0,5.0,93.0,0
53,53,70,176.0,8,96,20,0,0,95,17.0,5,6,20,1,30,0.0,0,0,74.0,71.0,8.0,4.0,3.0,86.0,0
54,54,78,368.0,6,74,42,0,0,98,23.0,5,6,43,3,49,0.0,3,3,10.0,19.0,8.0,2.0,0.0,67.0,0
56,56,75,300.0,14,124,22,0,0,100,0.0,7,8,23,0,39,0.0,0,0,57.0,52.0,4.0,1.0,1.0,100.0,0
57,57,76,150.0,11,54,14,0,0,100,0.0,7,8,15,1,40,0.0,0,0,32.0,96.0,4.0,2.0,0.0,75.0,0
58,58,72,168.0,8,62,10,0,0,100,0.0,7,8,11,1,18,0.0,5,5,60.0,82.0,7.0,1.0,0.0,100.0,0
59,59,55,118.0,4,69,12,7,4,50,4.0,3,3,22,2,27,0.0,2,2,79.0,79.0,5.0,2.0,2.0,88.0,0
60,60,74,277.0,30,123,24,0,0,88,12.0,6,6,24,0,25,0.0,0,0,45.0,52.0,12.0,1.0,2.0,93.0,0
61,61,63,174.0,1,62,11,1,0,79,5.0,3,5,14,1,29,0.0,5,5,37.0,101.0,5.0,2.0,2.0,70.0,0
62,62,81,137.0,9,66,34,0,0,100,0.0,7,8,34,1,62,0.0,1,1,24.0,92.0,3.0,4.0,0.0,78.0,0
63,63,81,126.0,9,78,18,0,0,100,0.0,7,8,18,1,83,0.0,0,0,0.0,64.0,1.0,3.0,1.0,80.0,1
65,65,59,243.0,11,79,38,1,1,76,7.0,4,6,43,1,50,0.0,1,1,63.0,78.0,7.0,4.0,4.0,86.0,0
68,68,66,176.0,11,81,43,0,0,98,3.0,4,6,44,1,39,0.0,2,2,36.0,64.0,3.0,4.0,1.0,47.0,0
69,69,72,169.0,5,60,21,1,1,96,30.0,6,3,23,1,52,0.0,4,4,66.0,82.0,4.0,3.0,1.0,78.0,0
71,71,73,409.0,7,94,38,0,0,100,0.0,7,8,39,2,18,0.0,1,1,27.0,69.0,11.0,2.0,2.0,72.0,1
72,72,86,419.0,10,122,17,0,0,100,0.0,7,8,18,1,72,0.0,0,0,0.0,36.0,0.0,2.0,1.0,50.0,0
73,73,91,282.0,100,209,6,0,0,100,0.0,7,8,7,0,43,0.0,0,0,0.0,52.0,0.0,2.0,1.0,0.0,0
74,74,73,324.0,15,89,19,0,0,89,9.0,4,6,19,0,21,0.0,0,0,34.0,36.0,6.0,3.0,1.0,64.0,1
75,75,78,134.0,2,63,35,0,0,93,32.0,6,6,40,3,40,0.0,0,0,22.0,55.0,5.0,4.0,0.0,60.0,1
76,76,65,155.0,8,37,20,1,1,95,8.0,4,6,21,1,38,0.0,2,2,49.0,87.0,5.0,5.0,1.0,67.0,0
77,77,75,70.0,1,38,8,0,0,100,0.0,7,8,9,1,78,0.0,4,3,17.0,52.0,2.0,1.0,1.0,100.0,0
78,78,84,277.0,8,109,8,0,0,100,0.0,7,8,8,1,50,0.0,0,0,33.0,52.0,2.0,1.0,0.0,100.0,1
79,79,75,294.0,12,94,39,0,0,98,0.0,6,6,40,0,35,0.0,2,2,17.0,52.0,6.0,5.0,0.0,61.0,1
80,80,60,357.0,17,141,9,4,3,67,3.0,3,4,13,0,50,0.0,1,1,28.0,52.0,4.0,2.0,1.0,100.0,1
81,81,68,106.0,3,54,29,1,1,87,51.0,6,2,31,2,65,0.0,1,1,85.0,73.0,3.0,5.0,2.0,100.0,1
82,82,67,85.0,7,44,15,1,1,93,45.0,6,6,16,2,33,0.0,0,0,59.0,62.0,3.0,2.0,2.0,83.0,0
83,83,71,282.0,1,73,22,0,0,96,0.0,6,6,25,5,4,0.0,2,2,37.0,39.0,11.0,1.0,1.0,80.0,0
84,84,50,204.0,2,91,23,2,0,82,1.0,3,5,28,2,32,0.0,6,6,32.0,52.0,5.0,2.0,0.0,67.0,0
85,85,62,151.0,19,99,5,1,1,80,16.0,6,6,6,0,80,0.0,0,0,40.0,75.0,1.0,2.0,0.0,100.0,0
87,87,70,333.0,2,75,16,0,0,100,0.0,5,8,20,8,30,0.0,0,0,78.0,92.0,6.0,2.0,4.0,67.0,0
88,88,58,307.0,6,79,14,1,0,73,18.0,6,5,15,2,53,0.0,0,0,81.0,75.0,3.0,3.0,2.0,86.0,0
90,90,88,188.0,13,82,20,0,0,100,0.0,7,8,20,0,40,0.0,0,0,17.0,82.0,2.0,2.0,0.0,50.0,1
91,91,65,107.0,7,48,40,0,0,100,0.0,6,8,43,4,42,0.0,2,2,80.0,86.0,5.0,2.0,4.0,70.0,0
92,92,74,169.0,5,78,26,0,0,96,76.0,6,6,27,2,37,0.0,1,1,37.0,91.0,5.0,4.0,0.0,75.0,0
93,93,78,282.0,2,95,23,0,0,100,0.0,7,8,24,1,13,0.0,1,1,22.0,52.0,4.0,1.0,1.0,43.0,0
94,94,74,378.0,7,110,41,0,0,98,35.0,6,6,42,4,57,0.0,0,0,44.0,76.0,4.0,5.0,2.0,69.0,1
95,95,77,311.0,11,103,39,0,0,98,0.0,6,6,42,1,36,0.0,0,0,46.0,73.0,5.0,4.0,1.0,69.0,1
96,96,67,299.0,2,79,25,0,0,89,15.0,5,6,27,3,37,0.0,12,11,63.0,63.0,13.0,3.0,4.0,94.0,0
97,97,56,76.0,6,32,11,2,2,92,15.0,5,2,14,5,17,0.0,3,3,83.0,42.0,5.0,2.0,2.0,100.0,1
98,98,88,211.0,20,103,13,0,0,100,0.0,7,8,14,0,57,0.0,0,0,0.0,19.0,2.0,3.0,0.0,71.0,1
99,99,75,169.0,2,59,21,0,0,100,0.0,7,8,22,4,36,0.0,4,4,43.0,112.0,4.0,6.0,0.0,83.0,0
100,100,66,127.0,2,69,17,0,0,94,16.0,6,6,18,4,33,0.0,3,3,42.0,81.0,3.0,4.0,3.0,58.0,0
101,101,81,220.0,2,91,20,0,0,100,0.0,7,8,23,2,39,0.0,2,2,36.0,52.0,3.0,1.0,1.0,67.0,1
102,102,71,177.0,8,95,24,0,0,96,0.0,6,6,24,1,75,0.0,1,1,87.0,87.0,4.0,2.0,3.0,100.0,0
103,103,69,112.0,2,43,5,0,0,100,0.0,7,8,7,2,43,0.0,1,1,37.0,58.0,3.0,2.0,0.0,83.0,0
104,104,74,150.0,13,91,13,1,1,93,35.0,6,2,14,0,29,0.0,0,0,36.0,52.0,1.0,1.0,1.0,40.0,1
105,105,56,224.0,21,109,27,1,1,79,4.0,4,6,28,0,21,0.0,1,1,101.0,79.0,15.0,1.0,11.0,94.0,0
106,106,65,243.0,9,89,23,0,0,83,2.0,4,6,23,1,52,0.0,0,0,49.0,75.0,4.0,4.0,1.0,80.0,0
108,108,92,152.0,15,154,14,0,0,100,0.0,7,8,15,0,47,0.0,0,0,7.0,79.0,2.0,2.0,0.0,80.0,1
109,109,91,150.0,3,108,10,0,0,100,0.0,7,8,11,1,64,0.0,1,1,2.0,41.0,1.0,3.0,0.0,67.0,1
110,110,73,183.0,6,90,19,1,1,100,0.0,7,8,19,1,32,0.0,0,0,6.0,52.0,1.0,2.0,0.0,50.0,1
111,111,66,255.0,1,80,14,1,1,88,9.0,4,6,16,3,69,0.0,4,4,58.0,60.0,3.0,4.0,1.0,88.0,0
113,113,87,120.0,12,59,26,0,0,100,0.0,7,8,26,0,54,0.0,1,1,1.0,52.0,2.0,1.0,0.0,75.0,0
114,114,64,246.0,16,106,5,3,3,88,57.0,6,3,8,0,88,0.0,1,1,28.0,144.0,3.0,4.0,1.0,100.0,0
116,116,63,123.0,2,40,5,1,1,86,29.0,6,4,7,4,43,0.0,0,0,77.0,52.0,3.0,1.0,1.0,100.0,0
117,117,78,177.0,1,65,26,0,0,96,0.0,6,6,28,3,46,0.0,1,1,4.0,72.0,4.0,5.0,0.0,64.0,1
119,119,75,212.0,23,105,11,0,0,82,21.0,6,6,11,0,45,0.0,1,1,13.0,52.0,1.0,1.0,0.0,100.0,0
120,120,68,224.0,9,110,24,5,5,86,25.0,6,2,29,1,31,0.0,5,5,5.0,73.0,2.0,2.0,1.0,71.0,1
121,121,61,208.0,6,96,24,3,2,74,44.0,6,2,27,3,63,0.0,2,2,53.0,77.0,6.0,4.0,2.0,92.0,0
122,122,63,203.0,2,79,16,0,0,59,3.0,4,6,17,1,47,0.0,3,3,55.0,77.0,7.0,3.0,1.0,91.0,0
123,123,69,160.0,5,109,11,1,1,92,20.0,6,3,13,1,31,0.0,0,0,94.0,52.0,3.0,2.0,3.0,100.0,0
125,125,49,103.0,4,48,10,12,9,53,7.0,0,2,17,1,35,0.0,2,2,37.0,66.0,5.0,2.0,0.0,80.0,0
126,126,74,159.0,9,69,26,0,0,100,0.0,6,7,27,2,48,0.0,0,0,61.0,67.0,3.0,4.0,2.0,78.0,0
127,127,65,241.0,37,95,15,0,0,76,0.0,4,6,17,0,29,0.0,1,1,51.0,43.0,3.0,1.0,1.0,80.0,0
128,128,80,203.0,6,91,15,0,0,100,0.0,7,8,17,1,29,0.0,0,0,16.0,93.0,6.0,2.0,1.0,69.0,0
129,129,61,61.0,10,41,9,0,0,80,0.0,5,6,10,1,50,0.0,2,2,80.0,95.0,4.0,3.0,1.0,100.0,0
130,130,57,178.0,2,79,23,0,0,92,2.0,4,6,26,2,58,0.0,3,3,57.0,77.0,5.0,2.0,1.0,100.0,0
131,131,59,131.0,7,81,13,1,0,69,5.0,4,5,17,1,50,0.0,2,2,75.0,52.0,3.0,2.0,1.0,100.0,0
132,132,71,103.0,15,94,6,1,0,86,13.0,6,5,7,0,14,0.0,0,0,48.0,52.0,2.0,2.0,0.0,67.0,0
133,133,86,168.0,15,85,33,0,0,97,51.0,6,6,34,0,38,0.0,0,0,3.0,52.0,3.0,2.0,0.0,56.0,1
134,134,83,106.0,3,62,28,0,0,100,0.0,7,8,28,5,11,0.0,4,4,17.0,52.0,2.0,1.0,0.0,60.0,1
136,136,59,198.0,6,89,29,3,2,79,21.0,6,2,34,1,38,0.0,3,3,38.0,98.0,11.0,1.0,1.0,86.0,0
137,137,59,256.0,0,50,11,1,0,44,1.0,4,5,16,1,75,0.0,1,1,93.0,74.0,3.0,6.0,2.0,90.0,0
139,139,55,203.0,7,81,19,2,1,86,3.0,3,5,21,2,33,0.0,3,3,56.0,87.0,3.0,2.0,1.0,83.0,1
140,140,75,258.0,28,97,23,0,0,96,0.0,6,6,24,0,13,0.0,0,0,31.0,52.0,4.0,2.0,0.0,57.0,1
141,141,78,41.0,3,16,3,0,0,100,0.0,7,8,3,2,67,0.0,16,16,0.0,52.0,0.0,1.0,1.0,50.0,0
142,142,65,14.0,0,4,3,0,0,100,0.0,7,8,6,5,33,0.0,9,9,1.0,98.0,1.0,2.0,0.0,50.0,1
143,143,80,233.0,3,106,28,0,0,97,2.0,4,6,30,4,37,2.0,3,3,4.0,98.0,4.0,2.0,0.0,86.0,1
144,144,70,252.0,3,73,20,4,2,88,31.0,6,3,24,4,67,2.0,1,1,16.0,93.0,3.0,2.0,0.0,63.0,0
145,145,59,183.0,5,82,20,5,5,78,6.0,4,2,27,1,67,4.0,1,1,98.0,84.0,2.0,4.0,1.0,100.0,0
146,146,57,246.0,4,72,34,2,1,88,3.0,1,3,40,4,73,2.0,3,3,12.0,70.0,3.0,12.0,0.0,89.0,0
147,147,77,154.0,3,55,31,0,0,100,0.0,7,8,32,6,63,2.0,2,1,26.0,74.0,5.0,14.0,0.0,86.0,0
148,148,65,37.0,13,24,11,0,0,100,0.0,7,8,11,0,27,3.0,4,4,81.0,52.0,6.0,1.0,2.0,88.0,0
149,149,67,97.0,2,46,8,0,0,100,0.0,7,8,9,1,33,0.0,1,1,66.0,48.0,5.0,2.0,1.0,88.0,0
150,150,73,136.0,6,77,25,0,0,100,0.0,7,8,25,4,36,0.0,3,3,54.0,100.0,11.0,1.0,1.0,100.0,0
151,151,73,190.0,8,113,27,0,0,100,0.0,7,8,30,1,23,7.0,0,0,40.0,78.0,9.0,3.0,1.0,68.0,0
152,152,77,221.0,17,93,46,0,0,100,0.0,7,8,51,0,36,17.0,0,0,41.0,52.0,8.0,1.0,2.0,75.0,0
153,153,61,190.0,7,118,34,0,0,82,22.0,5,6,34,1,50,19.0,0,0,97.0,78.0,6.0,4.0,4.0,100.0,0
154,154,86,242.0,77,135,14,0,0,100,0.0,7,8,14,0,36,1.0,3,3,3.0,52.0,2.0,1.0,0.0,43.0,1
155,155,66,132.0,3,36,34,0,0,100,0.0,7,8,34,3,26,10.0,0,0,66.0,81.0,21.0,4.0,5.0,96.0,1
156,156,64,178.0,8,108,33,0,0,85,1.0,4,6,33,2,36,0.0,4,4,48.0,78.0,5.0,3.0,3.0,62.0,0
157,157,79,245.0,6,100,35,0,0,100,0.0,7,8,37,1,43,4.0,1,1,18.0,61.0,6.0,4.0,0.0,71.0,1
158,158,76,159.0,3,84,21,0,0,95,0.0,5,7,21,1,71,3.0,1,1,42.0,69.0,3.0,3.0,1.0,75.0,1
159,159,62,27.0,19,22,3,2,2,100,0.0,6,8,3,0,100,2.0,4,4,28.0,52.0,3.0,1.0,1.0,100.0,0
160,160,81,244.0,3,128,54,0,0,98,0.0,6,6,56,3,41,0.0,4,4,25.0,97.0,6.0,3.0,0.0,90.0,1
162,162,85,241.0,7,120,36,0,0,100,0.0,7,8,36,1,39,2.0,1,1,1.0,20.0,3.0,4.0,0.0,50.0,1
163,163,75,160.0,5,69,12,0,0,100,0.0,7,8,12,2,42,2.0,2,2,85.0,100.0,2.0,2.0,2.0,83.0,0
165,165,72,132.0,2,65,25,0,0,100,0.0,7,8,26,3,42,2.0,3,3,40.0,70.0,5.0,3.0,2.0,73.0,0
166,166,71,179.0,4,68,32,1,1,97,50.0,6,3,33,5,21,1.0,5,5,43.0,45.0,12.0,4.0,3.0,76.0,0
167,167,65,256.0,40,190,23,1,1,85,5.0,4,4,27,0,52,5.0,0,0,75.0,27.0,4.0,3.0,1.0,88.0,1
168,168,55,139.0,3,65,51,0,0,98,2.0,4,6,51,3,27,0.0,11,9,80.0,52.0,17.0,2.0,10.0,79.0,1
169,169,89,137.0,15,75,14,0,0,100,0.0,7,8,14,0,0,0.0,0,0,3.0,52.0,3.0,2.0,0.0,50.0,1
170,170,50,222.0,20,99,24,2,1,81,1.0,4,5,26,0,38,3.0,1,1,42.0,67.0,6.0,3.0,2.0,69.0,0
171,171,70,218.0,3,69,24,1,1,88,36.0,5,2,33,3,62,0.0,5,5,69.0,83.0,8.0,4.0,1.0,100.0,1
173,173,55,156.0,5,65,59,1,1,98,2.0,4,6,59,5,36,1.0,12,11,44.0,91.0,7.0,5.0,1.0,92.0,0
174,174,69,82.0,13,57,15,5,4,67,23.0,6,2,21,0,71,5.0,2,2,6.0,66.0,1.0,2.0,1.0,75.0,0
175,175,62,247.0,11,93,29,2,2,90,37.0,0,6,29,1,24,16.0,0,0,67.0,52.0,11.0,1.0,3.0,100.0,1
176,176,87,112.0,5,67,22,0,0,100,0.0,7,8,22,2,55,5.0,0,0,3.0,92.0,1.0,3.0,0.0,44.0,1
177,177,65,129.0,10,64,30,0,0,78,2.0,4,6,32,3,34,0.0,1,1,17.0,99.0,2.0,10.0,0.0,67.0,1
178,178,66,93.0,7,33,23,0,0,100,0.0,7,8,24,3,33,0.0,2,2,58.0,97.0,8.0,2.0,4.0,63.0,0
180,180,85,154.0,45,159,4,0,0,100,0.0,7,8,4,0,50,0.0,0,0,53.0,52.0,1.0,2.0,0.0,100.0,0
181,181,81,212.0,1,93,37,0,0,100,0.0,7,8,44,5,16,2.0,3,3,19.0,52.0,4.0,2.0,1.0,35.0,1
184,184,65,321.0,3,74,27,2,1,68,21.0,6,4,31,5,45,0.0,4,4,11.0,91.0,1.0,4.0,0.0,56.0,1
187,187,65,338.0,7,55,24,0,0,83,9.0,4,6,24,2,33,0.0,2,2,13.0,78.0,2.0,2.0,0.0,31.0,1
188,188,85,195.0,5,87,28,0,0,100,0.0,7,8,29,5,38,0.0,3,3,11.0,49.0,5.0,3.0,0.0,73.0,1
189,189,67,145.0,3,58,31,1,1,94,11.0,4,2,32,4,56,3.0,2,2,18.0,62.0,5.0,6.0,1.0,79.0,1
190,190,92,352.0,13,120,14,0,0,100,0.0,7,8,17,0,35,4.0,1,1,11.0,52.0,2.0,1.0,0.0,60.0,1
191,191,66,205.0,4,123,5,1,1,100,0.0,6,8,5,2,40,4.0,5,5,83.0,80.0,1.0,2.0,1.0,100.0,0
192,192,62,135.0,8,59,15,2,2,81,4.0,4,6,16,1,81,0.0,11,10,13.0,59.0,2.0,4.0,0.0,100.0,0
193,193,62,433.0,1,79,31,3,3,92,24.0,5,2,39,7,85,0.0,2,2,13.0,97.0,1.0,4.0,1.0,100.0,0
194,194,69,175.0,6,56,17,2,1,90,11.0,4,5,20,3,55,1.0,1,1,16.0,92.0,3.0,8.0,0.0,73.0,1
195,195,83,344.0,42,151,10,0,0,90,38.0,6,6,10,0,40,19.0,0,0,5.0,52.0,1.0,2.0,1.0,33.0,0
196,196,57,140.0,13,67,8,4,4,80,26.0,6,4,10,0,50,3.0,1,1,93.0,71.0,1.0,2.0,1.0,100.0,0
198,198,66,307.0,6,125,38,3,1,79,24.0,6,2,49,2,48,4.0,1,1,45.0,75.0,8.0,3.0,4.0,65.0,0
199,199,66,502.0,4,145,34,0,0,97,36.0,6,6,37,4,27,4.0,3,3,80.0,53.0,17.0,3.0,12.0,83.0,0
200,200,64,277.0,6,94,26,0,0,71,3.0,4,6,28,1,54,5.0,0,0,52.0,77.0,5.0,4.0,1.0,82.0,0
202,202,81,334.0,16,104,18,0,0,100,0.0,7,8,19,0,68,9.0,0,0,29.0,34.0,3.0,3.0,0.0,86.0,1
203,203,63,307.0,2,85,35,0,0,95,22.0,6,6,38,3,24,0.0,3,3,38.0,52.0,5.0,1.0,2.0,50.0,1
204,204,66,133.0,6,77,23,0,0,100,0.0,7,8,26,2,42,0.0,3,3,105.0,94.0,6.0,2.0,6.0,100.0,0
205,205,61,338.0,2,145,32,0,0,88,4.0,4,6,33,1,27,12.0,0,0,56.0,85.0,15.0,2.0,6.0,78.0,0
206,206,85,182.0,13,74,10,0,0,100,0.0,7,8,10,0,50,18.0,0,0,12.0,34.0,4.0,2.0,0.0,86.0,1
207,207,72,145.0,7,57,45,0,0,100,0.0,7,8,72,2,74,7.0,0,0,34.0,97.0,4.0,12.0,0.0,73.0,1
208,208,85,267.0,18,72,8,0,0,100,0.0,7,8,8,0,25,17.0,0,0,17.0,62.0,2.0,1.0,0.0,75.0,1
209,209,78,340.0,8,106,25,0,0,96,7.0,4,6,25,1,56,4.0,1,1,6.0,77.0,2.0,3.0,0.0,56.0,0
210,210,86,439.0,2,112,18,0,0,100,0.0,7,8,21,2,57,1.0,3,3,26.0,100.0,3.0,2.0,0.0,83.0,1
211,211,70,139.0,5,67,19,1,0,83,19.0,6,5,23,2,57,5.0,0,0,39.0,66.0,2.0,3.0,0.0,100.0,1
212,212,62,295.0,7,124,55,0,0,95,8.0,4,6,57,2,39,5.0,0,0,32.0,48.0,6.0,4.0,2.0,57.0,0
213,213,82,286.0,1,103,16,0,0,100,0.0,7,8,17,3,47,6.0,0,0,25.0,22.0,4.0,3.0,1.0,89.0,1
